c:\Users\Chris\AppData\Local\Programs\Python\Python311\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode 372: Total Reward: 168.0, Episode Length: 527
Episode 373: Total Reward: 315.0, Episode Length: 844
Episode 374: Total Reward: 168.0, Episode Length: 634
Episode 375: Total Reward: 399.0, Episode Length: 1085
Episode 376: Total Reward: 210.0, Episode Length: 673
Episode 377: Total Reward: 399.0, Episode Length: 1032
Episode 378: Total Reward: 294.0, Episode Length: 791
Episode 379: Total Reward: 399.0, Episode Length: 1002
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 381: Total Reward: 168.0, Episode Length: 518
Episode 382: Total Reward: 357.0, Episode Length: 917
Episode 383: Total Reward: 336.0, Episode Length: 811
Episode 384: Total Reward: 399.0, Episode Length: 906
Episode 385: Total Reward: 315.0, Episode Length: 728
Episode 386: Total Reward: 168.0, Episode Length: 518
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 388: Total Reward: 189.0, Episode Length: 605
Episode 389: Total Reward: 315.0, Episode Length: 811
Episode 390: Total Reward: 210.0, Episode Length: 623
Episode 391: Total Reward: 189.0, Episode Length: 478
Episode 392: Total Reward: 399.0, Episode Length: 864
Episode 393: Total Reward: 210.0, Episode Length: 643
Episode 394: Total Reward: 210.0, Episode Length: 547
Episode 395: Total Reward: 252.0, Episode Length: 718
Episode 396: Total Reward: 294.0, Episode Length: 673
Episode 397: Total Reward: 189.0, Episode Length: 643
Episode 398: Total Reward: 231.0, Episode Length: 844
Episode 399: Total Reward: 147.0, Episode Length: 518
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 401: Total Reward: 189.0, Episode Length: 853
Episode 402: Total Reward: 399.0, Episode Length: 917
Episode 403: Total Reward: 189.0, Episode Length: 844
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 405: Total Reward: 252.0, Episode Length: 781
Episode 406: Total Reward: 357.0, Episode Length: 728
Episode 407: Total Reward: 336.0, Episode Length: 760
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 409: Total Reward: 231.0, Episode Length: 949
Found ValueError: expected sequence of length 210 at dim 1 (got 3), skipping to the next episode!
Episode 411: Total Reward: 252.0, Episode Length: 623
Episode 412: Total Reward: 168.0, Episode Length: 696
